Experiment,Compartment,OutlierStatus,Variable,N,Mean,StdDev,CV,Shapiro_stat,Shapiro_p,Pearson_r,Pearson_p,Spearman_r,Spearman_p,BestRegression,BestRegression_R2,Linear_r2,Log_r2,Exp_r2,Cubic_r2
outside compartment,outside compartment,With_Outliers,Write Time (ms),1000,1554.2049949999998,812.0627094502225,0.5224939516104325,0.935272257243586,2.0452392080640968e-20,0.9999999990583269,0.0,0.9949903106427865,0.0,Linear,0.999999998116654,0.999999998116654,0.9056611275909426,,0.9999999981178627
purecap ABI,purecap ABI,With_Outliers,Write Time (ms),1000,1557.8069409999998,813.9425403654794,0.5224925624243187,0.935330799735395,2.0882656023825417e-20,0.9999999653155509,0.0,0.9949882927969197,0.0,Linear,0.9999999306311034,0.9999999306311034,0.9056658544242747,,0.9999999307283042
purecap-benchmark ABI,purecap-benchmark ABI,With_Outliers,Write Time (ms),1000,222.02602,116.00750410126668,0.5224950845908362,0.9352864571657745,2.055590825216751e-20,0.9999999951242563,0.0,0.995015063088341,0.0,Linear,0.9999999902485125,0.9999999902485125,0.9056596768723486,,0.9999999902558045
outside compartment,outside compartment,With_Outliers,Read Time (ms),1000,1554.202958,812.0617647495617,0.5224940285756178,0.9352718786874218,2.0449639813569188e-20,0.9999999984530858,0.0,0.9949904748171768,0.0,Linear,0.9999999969061719,0.9999999969061719,0.9056624702945153,,0.9999999969257207
purecap ABI,purecap ABI,With_Outliers,Read Time (ms),1000,1557.2362119999998,813.644015257349,0.5224923547162857,0.9353011051933462,2.066325775652369e-20,0.9999999870342817,0.0,0.994988385331003,0.0,Linear,0.9999999740685636,0.9999999740685636,0.9056635073590416,,0.999999974102045
purecap-benchmark ABI,purecap-benchmark ABI,With_Outliers,Read Time (ms),1000,444.050345,232.0141446135488,0.5224951342252618,0.9352791137953439,2.050230839865142e-20,0.9999999977214857,0.0,0.9950014299101201,0.0,Linear,0.9999999954429715,0.9999999954429715,0.9056594686519207,,0.9999999954601507
outside compartment,outside compartment,With_Outliers,Allocation Time (ms),1000,0.004218,0.0027488237542687296,0.6516888938522355,0.34417166237956276,1.2156165388637187e-50,0.20414508432063663,7.206172296110659e-11,0.505608130944228,5.212531563125146e-66,Cubic Polynomial,0.07164153937290674,0.041675215452280034,0.06149418086006875,,0.07164153937290674
purecap ABI,purecap ABI,With_Outliers,Allocation Time (ms),1000,0.167421,0.8829464786968932,5.273809609887011,0.17460848327288947,2.0331143171538364e-54,0.06922413557953341,0.028600640195369766,0.23639455912747526,3.627446665971069e-14,Linear,0.0047919809467339425,0.0047919809467339425,0.0038997307298701545,,0.004957549737243827
purecap-benchmark ABI,purecap-benchmark ABI,With_Outliers,Allocation Time (ms),1000,0.16213399999999997,0.8817546241791201,5.438431323344395,0.17307362597248632,1.8926898216139423e-54,0.07148746931648461,0.023777982131003413,0.2290567559230037,2.266644688581762e-13,Linear,0.005110458269275253,0.005110458269275253,0.004230645243750941,,0.0052415861049283086
outside compartment,outside compartment,With_Outliers,Free Time (ms),1000,0.014553,0.004406882300630641,0.30281607233083496,0.7516282155723031,3.060133542098675e-36,0.7369496302275851,6.133495112702999e-172,0.8656443178272736,4.0563976054136585e-302,Cubic Polynomial,0.6619821909597161,0.5430947574925746,0.6545662870222368,,0.6619821909597161
purecap ABI,purecap ABI,With_Outliers,Free Time (ms),1000,0.41407299999999997,0.9626993090423565,2.3249506947865632,0.37760649409212177,8.405709727685243e-50,0.19316237179499246,7.330644815127958e-10,0.781572045730689,9.434374951875714e-207,Linear,0.037311701877466685,0.037311701877466685,0.03575650368688643,,0.042196437277780774
purecap-benchmark ABI,purecap-benchmark ABI,With_Outliers,Free Time (ms),1000,0.412659,0.9667714340653248,2.3427852877686535,0.3768423074983208,8.034606125513572e-50,0.1941477422075652,5.985599770574648e-10,0.7819832011025831,4.1322031625276775e-207,Linear,0.037693345804295175,0.037693345804295175,0.03604936883461629,,0.04269764585954161
outside compartment,outside compartment,Without_Outliers,Write Time (ms),989,1545.203625884732,811.2198784390454,0.5249922177567814,0.9355245865081658,2.929624828614876e-20,0.9999999992840118,0.0,0.9949871904070792,0.0,Linear,0.9999999985680234,0.9999999985680234,0.9053257022923087,,0.9999999985685809
purecap ABI,purecap ABI,Without_Outliers,Write Time (ms),984,1543.9772723577235,810.6023652017984,0.5250092599899296,0.936185649118316,4.192917198280579e-20,0.9999999732286822,0.0,0.9949818009339674,0.0,Linear,0.9999999464573649,0.9999999464573649,0.9055332269825772,,0.999999946826293
purecap-benchmark ABI,purecap-benchmark ABI,Without_Outliers,Write Time (ms),989,220.86222244691606,115.90227009077694,0.5247718184065358,0.9354740603449574,2.877521685530316e-20,0.9999999959651156,0.0,0.9950136974113951,0.0,Linear,0.9999999919302315,0.9999999919302315,0.9055229098958555,,0.9999999919335991
outside compartment,outside compartment,Without_Outliers,Read Time (ms),991,1551.7762734611504,814.1443373179635,0.5246531676258073,0.9346215861220559,2.0265847852382915e-20,0.9999999992799904,0.0,0.9949870724376135,0.0,Linear,0.9999999985599811,0.9999999985599811,0.9055545021228036,,0.9999999985628872
purecap ABI,purecap ABI,Without_Outliers,Read Time (ms),994,1551.2500633802817,811.8320590692035,0.5233405485252101,0.9358189113845831,2.877805807690221e-20,0.9999999900554536,0.0,0.9949868204563339,0.0,Linear,0.9999999801109074,0.9999999801109074,0.9055874196953733,,0.9999999801538726
purecap-benchmark ABI,purecap-benchmark ABI,Without_Outliers,Read Time (ms),994,443.075245472837,231.98427966900894,0.5235776135979839,0.9352152962571414,2.3215953141084638e-20,0.9999999979899133,0.0,0.9950010114150458,0.0,Linear,0.999999995979827,0.999999995979827,0.9057189131357661,,0.9999999959972405
outside compartment,outside compartment,Without_Outliers,Allocation Time (ms),992,0.004015120967741936,0.0012265039720378787,0.30547123782615504,0.7434384507194011,1.4696922259882768e-36,0.5615560941878271,1.6297833834626278e-83,0.5193521307496672,1.2962134918980053e-69,Cubic Polynomial,0.4734428969353468,0.31534524691948795,0.4332134788146518,,0.4734428969353468
purecap ABI,purecap ABI,Without_Outliers,Allocation Time (ms),983,0.06702339776195321,0.26295973312324444,3.9234020044342977,0.23372630442934006,7.465180387951785e-53,-0.12627598017859765,7.188061505685577e-05,0.22209729563749916,1.886057254702254e-12,Linear,0.015945623170065648,0.015945623170065648,0.011600075210582261,,0.021749212723429112
purecap-benchmark ABI,purecap-benchmark ABI,Without_Outliers,Allocation Time (ms),983,0.06180976602238047,0.2612490353644694,4.22666274565535,0.2290745303685766,5.933782763202347e-53,-0.11933605370375824,0.00017671388864332266,0.2142133467412501,1.1482361866769756e-11,Linear,0.014241093713586284,0.014241093713586284,0.009912612017170752,,0.02085973123351259
outside compartment,outside compartment,Without_Outliers,Free Time (ms),998,0.014574148296593188,0.0043858545560257626,0.3009338499081272,0.750840243329554,2.9725441956590723e-36,0.7404070638321538,4.952670939394763e-174,0.8670677936550474,1.1750990589324514e-303,Cubic Polynomial,0.6725703206728781,0.5482026201725512,0.6633298597686297,,0.6725703206728781
purecap ABI,purecap ABI,Without_Outliers,Free Time (ms),956,0.22607635983263596,0.3742978255692886,1.6556256737607629,0.40963153638366057,3.818690420304935e-48,0.049198521759263106,0.12848288599554805,0.7829426194397395,7.188257263162867e-199,Linear,0.002420494543296736,0.002420494543296736,0.006463969480635878,,0.022138284161685173
purecap-benchmark ABI,purecap-benchmark ABI,Without_Outliers,Free Time (ms),957,0.22684535005224662,0.3851958029396339,1.6980546564032115,0.40757722959796006,3.2252427732869807e-48,0.051463343621884226,0.11160651427544115,0.7825585534821896,9.384250407552194e-199,Linear,0.0026484757367438716,0.0026484757367438716,0.006947861785638554,,0.02136887536092258
