,Latência Média (ms),Latência Média (ms),Latência Média (ms),Desvio Padrão (ms),Desvio Padrão (ms),Desvio Padrão (ms),Variabilidade (%),Variabilidade (%),Variabilidade (%),Throughput (MB/s),Throughput (MB/s),Throughput (MB/s),Overhead Latência (%),Overhead Latência (%),Overhead Throughput (%),Overhead Throughput (%)
,benchmark,purecap,outexperiment,benchmark,purecap,outexperiment,benchmark,purecap,outexperiment,benchmark,purecap,outexperiment,benchmark,purecap,benchmark,purecap
Message Size (Bytes),,,,,,,,,,,,,,,,
1024,0.035750000000000004,0.07855714285714285,0.0023466666666666666,0.00043759497449368103,0.0016822665377203916,0.00047911329510831726,1.2240418866956113,2.141455858163801,20.41675973472943,28.643356643356643,13.03509729041644,436.3636363636364,1423.4375000000005,3247.60551948052,93.43589743589745,97.01279020427957
2048,0.07998809523809525,0.167955223880597,0.017644444444444445,0.0017039574604329206,0.0012114708793620635,0.00048136302521843065,2.130263829087146,0.7213058643673532,2.728127976678763,25.603810090787317,12.193726117479784,116.0705289672544,353.3330334652753,851.8872889958269,77.9411618792479,89.4945545385428
4096,0.16493023255813952,0.1707,0.04065277777777778,0.0009676010076401956,0.15505056197149616,0.0004794281282981249,0.5866729177739483,90.83219799150332,1.1793244016899553,24.83474337281444,23.995313415348562,100.75572258284933,305.70470598517403,319.89750597881783,75.35153067619225,76.18466445355725
6144,0.25007462686567167,0.28155102040816327,0.060411764705882345,0.012340268442681835,0.25091227868895966,0.006050127158199035,4.934634351893064,89.11787225108019,10.014816133338229,24.5686660698299,21.8219773847492,101.7020447906524,313.95021000159875,366.05329570971537,75.84250531009181,78.54322651066805
8192,0.3378955223880597,0.7003272727272726,0.0811573033707865,0.005597982126591923,0.0020280856276625302,0.008452943108232261,1.6567198307419004,0.289591124984265,10.415505145129051,24.244180396660624,11.697388234072385,100.93977571646133,316.3464141289952,762.9257548487785,75.98153926479661,88.41151751027245
16384,0.6313243243243244,1.381154761904762,0.14563768115942025,0.024172954494419262,0.025881795270974735,0.023583999445344766,3.8289281060555362,1.8739243410550845,16.19361092376146,25.951795881673014,11.862537386762284,112.49835804557672,333.4896843305642,848.349871344697,76.93140030438568,89.45536842239387
24576,0.9355818181818182,2.006067415730337,0.19281428571428572,0.010452167787010056,0.03774610086811163,0.029193156264282344,1.1171837228862023,1.8815968283084659,15.140556705192,26.26814621917329,12.25083454688025,127.45943543009557,385.224325944486,940.414307632241,79.39097554407425,90.38844436620845
32768,1.2356285714285715,2.6107307692307686,0.2477575757575757,0.016076061444047607,0.024260851408986223,0.018609394324092254,1.3010431950000374,0.9292743508797153,7.511130292258372,26.51929613614817,12.551275062979714,132.25831702544033,398.7248392507689,953.7440727081137,79.94886315463465,90.51002965615733
49152,12.898614457831325,3.8773108108108105,3.2771891891891896,16.50101159783798,0.029110994804569298,8.237340832520795,127.92855892998243,0.750803745817883,251.3538388230433,3.8106418453462356,12.67682741939419,14.998218644850562,293.58772756792155,18.31208352576365,74.59270373648961,15.477779597868382
65536,14.585025316455697,5.1594999999999995,16.5942625,21.070506982190306,0.026562901183760913,25.443563280298928,144.466715175443,0.5148347937544513,153.3274725544382,4.493375813757304,12.702006008334141,3.9493168195935193,-12.108023381842383,-68.90792826737555,-13.776028083251655,-221.62539974803758
