OutlierStatus,Variable,Median epsilon_squared,IQR epsilon_squared
With_Outliers,AES-256-GCM decrypt,0.7797882883728202,0.03784280880038993
With_Outliers,AES-256-GCM encrypt,0.7703530543322883,0.010653956903906137
With_Outliers,Ed25519 sign,0.8689091510452682,0.03398938672148
With_Outliers,Ed25519 verify,0.8636557176920164,0.026824470796295796
With_Outliers,SHA-256,0.8881523988742468,1.024195790078064e-05
Without_Outliers,AES-256-GCM decrypt,0.7990373415228911,0.07604415082794436
Without_Outliers,AES-256-GCM encrypt,0.7985172976481059,0.05465225883467073
Without_Outliers,Ed25519 sign,0.8809073813751056,0.017195755904930055
Without_Outliers,Ed25519 verify,0.8797177466379914,0.015691048082502546
Without_Outliers,SHA-256,0.8879201511301253,0.00014104115213475765
